chr14	0	19750000	boundary.0
chr14	22000000	22250000	boundary.1
chr14	24000000	24250000	boundary.2
chr14	26250000	30000000	boundary.3
chr14	33500000	33750000	boundary.4
chr14	38250000	38500000	boundary.5
chr14	41500000	44250000	boundary.6
chr14	47500000	49000000	boundary.7
chr14	52750000	53000000	boundary.8
chr14	57000000	57250000	boundary.9
chr14	60500000	60750000	boundary.10
chr14	63000000	63250000	boundary.11
chr14	64750000	65000000	boundary.12
chr14	67000000	67250000	boundary.13
chr14	70500000	70750000	boundary.14
chr14	73000000	73250000	boundary.15
chr14	74750000	75000000	boundary.16
chr14	76750000	77000000	boundary.17
chr14	80000000	80250000	boundary.18
chr14	83500000	87250000	boundary.19
chr14	90750000	91000000	boundary.20
chr14	92500000	92750000	boundary.21
chr14	94750000	95000000	boundary.22
chr14	99000000	99250000	boundary.23
chr14	101500000	101750000	boundary.24
chr14	104750000	105000000	boundary.25
chr14	107250000	107349540	boundary.26
